Subject,Time,MPRAGE,Rest,FieldMap,tSNR,Relative Motion Mean,Relative Motion Median,Relative Motion SD,Relative Motion Variance,Relative Motion Max,Absolute Motion Mean,Absolute Motion Median,Absolute Motion SD,Absolute Motion Variance,Absolute Motion Max,FD Mean,FD Median,FD SD,FD Variance,FD Min,FD Max
352,1,1,1,1,52.215456,0.249956727,0.241338,0.083711103,0.007007549,0.755319,0.370454311,0.2783025,0.266766846,0.071164556,1.25766,0.393622547,0.37207145,0.140883565,0.019848179,0.10736866,1.4397383
352,2,1,1,1,40.727739,0.283753663,0.268358,0.11484383,0.013189105,0.753984,0.980736017,0.789242,0.61187464,0.374390572,2.61836,0.508188426,0.4733303,0.209432095,0.043861803,0.115319,1.4262305
369,1,1,1,1,49.808537,0.131516397,0.12654,0.038545709,0.001485772,0.27585,0.394128501,0.3584815,0.263729185,0.069553085,1.30842,0.220604375,0.21475173,0.060083553,0.003610033,0.10236046,0.4246368
369,2,1,1,1,63.053228,0.142345488,0.140813,0.040305659,0.001624546,0.259725,0.174370721,0.16658,0.070708692,0.004999719,0.385961,0.22502251,0.21666792,0.058580961,0.003431729,0.1084697,0.4082311
379,1,1,1,1,60.598848,0.136069074,0.11218,0.093493752,0.008741082,0.567239,0.393049717,0.2706505,0.317063779,0.100529447,1.48265,0.251101404,0.21327841,0.160736948,0.025836367,0.0247714,0.9072844
379,2,1,1,1,60.724,0.167382106,0.143413,0.120424926,0.014502162,1.01826,0.292856038,0.224327,0.207544357,0.04307466,1.00995,0.29122898,0.27156655,0.182304129,0.033234797,0.0671316,1.7221554
381,1,1,1,1,50.295513,0.295433909,0.2562015,0.192358419,0.037001759,1.27041,0.469166696,0.3788395,0.307184845,0.094362527,1.13374,0.527911663,0.45264885,0.345341414,0.119260684,0.06504206,2.6274255
381,2,1,1,1,55.666823,0.236178815,0.182353,0.170826852,0.029181814,1.06933,0.297909766,0.3017375,0.136212274,0.018553782,0.968683,0.424163908,0.33940062,0.286068052,0.081834935,0.04263896,1.8217251
392,1,1,1,1,38.61459,0.27887243,0.2073665,0.411587179,0.169404015,4.6376,0.812023103,0.632829,0.587767601,0.345470756,4.9412,0.503266513,0.3525152,0.747556686,0.55884099,0.09401885,7.83563607
392,2,1,1,1,69.68639,0.129388273,0.132752,0.037719708,0.001422776,0.23514,0.210121423,0.2112645,0.083006158,0.006890023,0.530674,0.20808731,0.21082424,0.061711472,0.003808306,0.07268807,0.4403493
396,1,1,1,1,68.744929,0.101416908,0.08991135,0.063071527,0.003978017,0.384408,0.378645241,0.259659,0.236570016,0.055965371,0.871962,0.167031035,0.1525979,0.096150048,0.009244831,0.02421355,0.745694
399,1,1,1,1,51.625464,0.142642677,0.141677,0.048309848,0.002333841,0.411402,0.392542005,0.28395,0.334486425,0.111881174,1.1403,0.240648031,0.23245776,0.076843411,0.00590491,0.0853387,0.688952
399,2,1,1,0,52.719937,0.208228558,0.202749,0.083794147,0.007021459,0.570469,0.399495751,0.328991,0.2686643,0.072180502,1.5377,0.374654412,0.346114,0.173891068,0.030238103,0.1144566,1.3839457
